claim_id,family,current_status,claim,current_evidence_mode,current_readiness,testability_class,proposed_operational_label,operational_definition,primary_data_source,required_fields,leakage_risks,likely_blockers,estimated_sample_power_need,power_bucket,ready_for_powered_test,next_experiment_bead,target_wiki_page,completion_evidence,notes
ch05-pounce-count-before-certainty,setter defense,supported,"When a defender can take an offense-controlled trick with count, the pounce-count action is better than same-decision alternatives.",direct role-gated corpus contrast,w42; oracle; gus,direct_action_contrast_ready_for_replication,ch05_pounce_count_before_certainty,Paired same-decision E[Q] contrast over Gus v2 pip-declaration corpus. Next test: Add bid-margin/high-bid filters and bidder-off inference before broad Chapter 5 promotion.,w42/gus_corpus_claim_deep_dive/; gus/data/corpus_v2_train_*_d0-9.pt; w42/setter_pounce_direct_label_probe/,defender role; current trick; offense/defense current winner; count value; legal beating action; set threshold; bid_value; later-seat risk,"Hidden holdings, future trick result, and q_per_world are offline labels only; pounce window must be public/action-local.","Needs the reusable harness plus stronger forcedness, guaranteed-control, later-seat-risk, and bid-margin slices.",Reuse Gus v2 corpus; target >=500 same-decision pairs per pounce/count label plus bid-margin/high-bid slices.,powered_slice,yes_after_harness,t42-0b4l.3; t42-0b4l.6,wiki/experiments/w42-setter-defense-claim-validation.md; wiki/experiments/w42-gus-corpus-tactical-claim-deep-dive.md,"Paired same-decision contrasts with bootstrap CIs, declaration/seat/trick slices, example decisions, W&B progress series, and conservative ledger update.","Current ledger result: direct paired_n=359, mean_delta=4.1018437380136525, ci95=[3.1444330820341873, 5.1759628792364705], threshold_mass_delta=0.04940111375826315"
ch05-extra-count-to-set,setter defense,context-limited,Pounce count that immediately reaches the set threshold is better than same-decision alternatives.,direct role-gated corpus contrast,w42; oracle; gus,direct_action_contrast_needs_stronger_labels,ch05_extra_count_to_set,Paired same-decision E[Q] contrast over Gus v2 pip-declaration corpus. Next test: Add bid-margin and explicit five-count/ten-count loss-budget labels.,w42/gus_corpus_claim_deep_dive/; gus/data/corpus_v2_train_*_d0-9.pt; w42/setter_pounce_direct_label_probe/,defender role; current trick; offense/defense current winner; count value; legal beating action; set threshold; bid_value; later-seat risk,"Hidden holdings, future trick result, and q_per_world are offline labels only; pounce window must be public/action-local.","Needs the reusable harness plus stronger forcedness, guaranteed-control, later-seat-risk, and bid-margin slices.",Reuse Gus v2 corpus; target >=500 same-decision pairs per pounce/count label plus bid-margin/high-bid slices.,powered_slice,needs_label_refinement,t42-0b4l.3; t42-0b4l.6,wiki/experiments/w42-setter-defense-claim-validation.md; wiki/experiments/w42-gus-corpus-tactical-claim-deep-dive.md,"Paired same-decision contrasts with bootstrap CIs, declaration/seat/trick slices, example decisions, W&B progress series, and conservative ledger update.","Current ledger result: direct paired_n=134, mean_delta=6.068571160912319, ci95=[4.219104287852343, 8.087687143438782], threshold_mass_delta=0.07298507332913022"
ch05-count-calling-lead,setter defense,underpowered,High-liability count-calling lead versus low-liability lead,proxy regret analysis,w42; oracle,direct_detector_or_paired_contrast_needed,ch05_count_calling_lead,Bootstrap CIs over available eval-corpus proxy buckets. Next test: Implement direct setter-pounce labels and set-threshold accounting.,w42/gus_corpus_claim_deep_dive/; gus/data/corpus_v2_train_*_d0-9.pt; w42/setter_pounce_direct_label_probe/,defender role; current trick; offense/defense current winner; count value; legal beating action; set threshold; bid_value; later-seat risk,"Hidden holdings, future trick result, and q_per_world are offline labels only; pounce window must be public/action-local.","Needs the reusable harness plus stronger forcedness, guaranteed-control, later-seat-risk, and bid-margin slices.",Reuse Gus v2 corpus; target >=500 same-decision pairs per pounce/count label plus bid-margin/high-bid slices.,powered_slice,needs_detector_implementation,t42-0b4l.3; t42-0b4l.6,wiki/experiments/w42-setter-defense-claim-validation.md; wiki/experiments/w42-gus-corpus-tactical-claim-deep-dive.md,"Paired same-decision contrasts with bootstrap CIs, declaration/seat/trick slices, example decisions, W&B progress series, and conservative ledger update.","Current ledger result: directness=broad-proxy, preferred_n=254, alternative_n=143, paired_n=51"
ch05-count-protection,setter defense,underpowered,Protected count action versus unprotected count action,proxy regret analysis,w42; oracle,direct_detector_or_paired_contrast_needed,ch05_count_protection,Bootstrap CIs over available eval-corpus proxy buckets. Next test: Implement direct setter-pounce labels and set-threshold accounting.,w42/gus_corpus_claim_deep_dive/; gus/data/corpus_v2_train_*_d0-9.pt; w42/setter_pounce_direct_label_probe/,defender role; current trick; offense/defense current winner; count value; legal beating action; set threshold; bid_value; later-seat risk,"Hidden holdings, future trick result, and q_per_world are offline labels only; pounce window must be public/action-local.","Needs the reusable harness plus stronger forcedness, guaranteed-control, later-seat-risk, and bid-margin slices.",Reuse Gus v2 corpus; target >=500 same-decision pairs per pounce/count label plus bid-margin/high-bid slices.,powered_slice,needs_detector_implementation,t42-0b4l.3; t42-0b4l.6,wiki/experiments/w42-setter-defense-claim-validation.md; wiki/experiments/w42-gus-corpus-tactical-claim-deep-dive.md,"Paired same-decision contrasts with bootstrap CIs, declaration/seat/trick slices, example decisions, W&B progress series, and conservative ledger update.","Current ledger result: directness=broad-proxy, preferred_n=41, alternative_n=122, paired_n=8"
ch05-trump-rich-count-intervention,setter defense,underpowered,Trumping in on count versus holding count while opponent currently wins,proxy regret analysis,w42; oracle,direct_detector_or_paired_contrast_needed,ch05_trump_rich_count_intervention,Bootstrap CIs over available eval-corpus proxy buckets. Next test: Implement direct setter-pounce labels and set-threshold accounting.,w42/gus_corpus_claim_deep_dive/; gus/data/corpus_v2_train_*_d0-9.pt; w42/setter_pounce_direct_label_probe/,defender role; current trick; offense/defense current winner; count value; legal beating action; set threshold; bid_value; later-seat risk,"Hidden holdings, future trick result, and q_per_world are offline labels only; pounce window must be public/action-local.","Needs the reusable harness plus stronger forcedness, guaranteed-control, later-seat-risk, and bid-margin slices.",Reuse Gus v2 corpus; target >=500 same-decision pairs per pounce/count label plus bid-margin/high-bid slices.,powered_slice,needs_detector_implementation,t42-0b4l.3; t42-0b4l.6,wiki/experiments/w42-setter-defense-claim-validation.md; wiki/experiments/w42-gus-corpus-tactical-claim-deep-dive.md,"Paired same-decision contrasts with bootstrap CIs, declaration/seat/trick slices, example decisions, W&B progress series, and conservative ledger update.","Current ledger result: directness=proxy-only, preferred_n=7, alternative_n=73, paired_n=2"
ch12-setter-pounce-high-bid-off,setter defense,underpowered,Opponent count pressure present versus absent,proxy regret analysis,w42; oracle,direct_detector_or_paired_contrast_needed,ch12_setter_pounce_high_bid_off,Bootstrap CIs over available eval-corpus proxy buckets. Next test: Implement direct setter-pounce labels and set-threshold accounting.,w42/gus_corpus_claim_deep_dive/; gus/data/corpus_v2_train_*_d0-9.pt; w42/setter_pounce_direct_label_probe/,defender role; current trick; offense/defense current winner; count value; legal beating action; set threshold; bid_value; later-seat risk,"Hidden holdings, future trick result, and q_per_world are offline labels only; pounce window must be public/action-local.","Needs the reusable harness plus stronger forcedness, guaranteed-control, later-seat-risk, and bid-margin slices.",Reuse Gus v2 corpus; target >=500 same-decision pairs per pounce/count label plus bid-margin/high-bid slices.,powered_slice,needs_detector_implementation,t42-0b4l.3; t42-0b4l.6,wiki/experiments/w42-setter-defense-claim-validation.md; wiki/experiments/w42-gus-corpus-tactical-claim-deep-dive.md,"Paired same-decision contrasts with bootstrap CIs, declaration/seat/trick slices, example decisions, W&B progress series, and conservative ledger update.","Current ledger result: directness=broad-proxy, preferred_n=123, alternative_n=282, paired_n=0"
ch05-reckless-count-to-bidder,setter defense,supported,A defender should not dump count into an offense-controlled trick when the candidate cannot win the trick.,direct role-gated corpus contrast,w42; oracle; gus,direct_action_contrast_ready_for_replication,ch05_reckless_count_to_bidder,Paired same-decision E[Q] contrast over Gus v2 pip-declaration corpus. Next test: Use this as a regression fixture for future pounce detectors.,w42/gus_corpus_claim_deep_dive/; gus/data/corpus_v2_train_*_d0-9.pt; w42/setter_pounce_direct_label_probe/,defender role; current trick; offense/defense current winner; count value; legal beating action; set threshold; bid_value; later-seat risk,"Hidden holdings, future trick result, and q_per_world are offline labels only; pounce window must be public/action-local.","Needs the reusable harness plus stronger forcedness, guaranteed-control, later-seat-risk, and bid-margin slices.",Reuse Gus v2 corpus; target >=500 same-decision pairs per pounce/count label plus bid-margin/high-bid slices.,powered_slice,yes_after_harness,t42-0b4l.3; t42-0b4l.6,wiki/experiments/w42-setter-defense-claim-validation.md; wiki/experiments/w42-gus-corpus-tactical-claim-deep-dive.md,"Paired same-decision contrasts with bootstrap CIs, declaration/seat/trick slices, example decisions, W&B progress series, and conservative ledger update.","Current ledger result: paired_n=1355, mean_delta=-8.372450999124148, ci95=[-8.97540012777289, -7.7914284101805675], threshold_mass_delta=-0.11901107039646248"
ch03-trump-pull-sequencing,bidder sequencing,underpowered,"Proxy evidence improves tiny-model oracle alignment, but no trump-first/off-first counterfactual was run.",secondary model-bucket analysis,w42; oracle,sequence_counterfactual_or_model_probe_needed,ch03_trump_pull_sequencing,Proxy buckets: global:current_trick_pressure;action:trick_relation;action:suit_pressure Next test: Run trump-first/off-first paired rollouts and late-endgame proof checks.,w42/bidder_sequencing_claim_validation/; w42/phase2_decision_table/; gus/data/corpus_v2_train_*_d0-9.pt,bidder role; lead/follow phase; trump/off inventory; reentry tiles; legal action alternatives; public trick history; E[Q] PDF or rollout labels,"Future trick outcomes and oracle Q are labels, not features; model probes must use public state plus actor hand only.",Current evidence is tag/model-bucket proxy; no trump-first/off-first sequence counterfactual exists.,"Use Gus/branch-atlas decisions first, then generate paired trump-first/off-first rollouts; target >=500 same-decision contrasts per sequencing label.",powered_slice,needs_sequence_counterfactuals,t42-0b4l.6; t42-0b4l.9,wiki/experiments/w42-bidder-sequencing-claim-validation.md; wiki/experiments/w42-phase2-seat-position-strategy-map.md,Sequence counterfactuals or proof-checker labels plus ablated w42 tag probes that show whether tags improve learning and where they fail.,"Current ledger result: weighted_rows=1307, delta_mean_regret=-1.017278, delta_match_rate=0.078806"
ch03-reentry-preservation,bidder sequencing,underpowered,Available buckets touch hand/protection structure but do not encode final-trump-spent-before-off-clear.,secondary model-bucket analysis,w42; oracle,sequence_counterfactual_or_model_probe_needed,ch03_reentry_preservation,Proxy buckets: action:double_protection;global:hand_shape;action:hand_shape Next test: Run trump-first/off-first paired rollouts and late-endgame proof checks.,w42/bidder_sequencing_claim_validation/; w42/phase2_decision_table/; gus/data/corpus_v2_train_*_d0-9.pt,bidder role; lead/follow phase; trump/off inventory; reentry tiles; legal action alternatives; public trick history; E[Q] PDF or rollout labels,"Future trick outcomes and oracle Q are labels, not features; model probes must use public state plus actor hand only.",Current evidence is tag/model-bucket proxy; no trump-first/off-first sequence counterfactual exists.,"Use Gus/branch-atlas decisions first, then generate paired trump-first/off-first rollouts; target >=500 same-decision contrasts per sequencing label.",powered_slice,needs_sequence_counterfactuals,t42-0b4l.6; t42-0b4l.9,wiki/experiments/w42-bidder-sequencing-claim-validation.md; wiki/experiments/w42-phase2-seat-position-strategy-map.md,Sequence counterfactuals or proof-checker labels plus ablated w42 tag probes that show whether tags improve learning and where they fail.,"Current ledger result: weighted_rows=1088, delta_mean_regret=-1.045158, delta_match_rate=0.082721"
ch03-off-timing,bidder sequencing,underpowered,Proxy buckets improve alignment; no paired early-off versus trump-first rollout exists in the artifacts.,secondary model-bucket analysis,w42; oracle,sequence_counterfactual_or_model_probe_needed,ch03_off_timing,Proxy buckets: action:suit_pressure;action:double_protection;global:void_summary Next test: Run trump-first/off-first paired rollouts and late-endgame proof checks.,w42/bidder_sequencing_claim_validation/; w42/phase2_decision_table/; gus/data/corpus_v2_train_*_d0-9.pt,bidder role; lead/follow phase; trump/off inventory; reentry tiles; legal action alternatives; public trick history; E[Q] PDF or rollout labels,"Future trick outcomes and oracle Q are labels, not features; model probes must use public state plus actor hand only.",Current evidence is tag/model-bucket proxy; no trump-first/off-first sequence counterfactual exists.,"Use Gus/branch-atlas decisions first, then generate paired trump-first/off-first rollouts; target >=500 same-decision contrasts per sequencing label.",powered_slice,needs_sequence_counterfactuals,t42-0b4l.6; t42-0b4l.9,wiki/experiments/w42-bidder-sequencing-claim-validation.md; wiki/experiments/w42-phase2-seat-position-strategy-map.md,Sequence counterfactuals or proof-checker labels plus ablated w42 tag probes that show whether tags improve learning and where they fail.,"Current ledger result: weighted_rows=917, delta_mean_regret=-0.898029, delta_match_rate=0.078517"
ch03-count-inventory,bidder sequencing,context-limited,"Count buckets show the strongest proxy gains, but this validates tag usefulness rather than the book's full sequencing rule.",secondary model-bucket analysis,w42; oracle,sequence_counterfactual_or_model_probe_needed,ch03_count_inventory,Proxy buckets: action:count_pressure;global:public_count;global:unseen_count_by_pip Next test: Run trump-first/off-first paired rollouts and late-endgame proof checks.,w42/bidder_sequencing_claim_validation/; w42/phase2_decision_table/; gus/data/corpus_v2_train_*_d0-9.pt,bidder role; lead/follow phase; trump/off inventory; reentry tiles; legal action alternatives; public trick history; E[Q] PDF or rollout labels,"Future trick outcomes and oracle Q are labels, not features; model probes must use public state plus actor hand only.",Current evidence is tag/model-bucket proxy; no trump-first/off-first sequence counterfactual exists.,"Use Gus/branch-atlas decisions first, then generate paired trump-first/off-first rollouts; target >=500 same-decision contrasts per sequencing label.",powered_slice,needs_sequence_counterfactuals,t42-0b4l.6; t42-0b4l.9,wiki/experiments/w42-bidder-sequencing-claim-validation.md; wiki/experiments/w42-phase2-seat-position-strategy-map.md,Sequence counterfactuals or proof-checker labels plus ablated w42 tag probes that show whether tags improve learning and where they fail.,"Current ledger result: weighted_rows=1117, delta_mean_regret=-1.082058, delta_match_rate=0.080573"
ch03-laydown-correctness,bidder sequencing,not-yet-tested,No deterministic laydown proof checker or late-endgame enumeration artifact exists in the available w42 outputs.,secondary model-bucket analysis,w42; oracle,sequence_counterfactual_or_model_probe_needed,ch03_laydown_correctness,Proxy buckets: not applicable Next test: Run trump-first/off-first paired rollouts and late-endgame proof checks.,w42/bidder_sequencing_claim_validation/; w42/phase2_decision_table/; gus/data/corpus_v2_train_*_d0-9.pt,bidder role; lead/follow phase; trump/off inventory; reentry tiles; legal action alternatives; public trick history; E[Q] PDF or rollout labels,"Future trick outcomes and oracle Q are labels, not features; model probes must use public state plus actor hand only.",Current evidence is tag/model-bucket proxy; no trump-first/off-first sequence counterfactual exists.,"Use Gus/branch-atlas decisions first, then generate paired trump-first/off-first rollouts; target >=500 same-decision contrasts per sequencing label.",powered_slice,needs_sequence_counterfactuals,t42-0b4l.6; t42-0b4l.9,wiki/experiments/w42-bidder-sequencing-claim-validation.md; wiki/experiments/w42-phase2-seat-position-strategy-map.md,Sequence counterfactuals or proof-checker labels plus ablated w42 tag probes that show whether tags improve learning and where they fail.,"Current ledger result: weighted_rows=not applicable, delta_mean_regret=not applicable, delta_match_rate=not applicable"
